id,target,feat_a_00,feat_a_02,feat_a_04,feat_a_05,feat_a_07,feat_a_11
269,0,,,716.0,5.0,0.0,
296,0,,,615.0,8.0,0.0,
1486,0,,,596.0,1.0,0.0,
2061,0,0.49333334,1000000.0,754.0,1.0,0.0,
2144,0,,,643.0,1.0,0.0,
2956,0,,68949530.0,784.0,7.0,0.0,
2993,0,,,677.0,7.0,0.22222222,
3184,0,,,836.0,1.0,0.0,
3503,0,0.05190304,547204.25,636.0,6.0,0.0,7107.51
3535,0,,798477.0,787.0,2.0,,
3744,0,,540189.0,651.0,8.0,0.0,45573.0
4320,0,,,730.0,2.0,0.0,
5518,0,1.0,108858260.0,809.0,0.0,,
5613,0,,,771.0,0.0,,
6019,0,,,,,,
6096,0,0.76238286,6942902.0,711.0,1.0,,
6197,0,0.9814815,1369474.4,730.5,1.0,,
6670,0,,938315.0,563.0,5.0,0.10526316,92764.42
6714,0,1.0,2699832300.0,736.0,,0.0,
6935,0,,,,,,
7938,0,0.9719281,2650214.5,662.0,2.0,,
8151,0,,,648.0,15.0,0.2,
8197,0,,,,,,
8374,1,0.81758404,602787.5,683.0,5.0,0.03846154,93141.59
8398,0,,,706.0,0.0,0.14285715,
8734,0,0.95070124,1035233.5,795.0,8.0,0.0,24.0
9322,1,,,514.0,2.0,0.0625,
9346,0,,,617.0,8.0,,
9474,0,,2069435.5,767.0,4.0,0.11764706,
9842,0,,,519.5,5.0,0.0,
10371,0,,,629.0,5.0,0.6666667,
10612,0,,0.0,743.0,3.0,0.0,
10642,0,0.40259105,566320600.0,729.0,1.0,,23906000.0
11235,0,,938115.0,590.0,5.0,0.33333334,
11344,0,,13554002.0,,,,287000.0
11592,0,,0.0,815.0,0.0,,
11916,0,,2642692.0,616.0,3.0,,
12150,0,,,782.0,0.0,,
12298,1,1.0,2182246.8,600.0,7.0,,591229.94
12380,0,,1342623.0,609.0,6.0,,
12579,0,,723569.3,782.0,3.0,0.0,
13385,0,,,632.0,4.0,,
14174,0,1.0,244589.05,714.0,4.0,1.0,
14197,0,,,676.0,1.0,0.071428575,13951.92
14439,0,,,745.0,3.0,1.0,
14524,0,,218311.0,718.0,3.0,0.071428575,53406.0
14826,0,0.80903226,260585470.0,702.5,0.0,0.071428575,4624.0
15593,0,,414499.44,687.0,2.0,,28729.0
16092,0,,140239.0,865.0,4.0,0.0,
16784,0,,,445.5,9.0,0.0,
16951,0,,,539.0,0.0,,
17090,0,,,509.0,5.0,0.0,
17803,0,,,712.0,4.0,0.0,
17870,0,,50747.94,660.0,8.0,0.0,
18550,0,,,506.0,1.0,0.375,
18922,0,1.0,161821.92,568.0,1.0,,69932.8
19071,0,,,486.0,2.0,,
19173,1,0.96732736,295748.28,551.0,8.0,0.15384616,
19568,0,1.0,41943.13,390.0,3.0,0.0,
19771,1,0.9727704,9475.33,478.0,17.0,0.06349207,2495.0
19980,0,,,671.0,4.0,0.0,42773.0
21105,0,,,748.0,4.0,0.375,
21183,0,,,760.0,1.0,,
21272,0,,,578.0,3.0,0.14285715,
21508,0,,,642.0,6.0,0.4,
21686,0,,,621.0,4.0,0.0,
21798,0,0.4572986,8871939.0,758.0,2.0,0.0,
21804,0,,,699.0,2.0,1.0,
22358,0,0.5689013,248103310.0,750.0,5.0,0.0,
22416,0,,,799.0,,,
22662,0,,,722.0,5.0,0.14285715,
22872,0,,,,,,
23030,1,0.9462534,925986.7,539.5,4.0,0.0,24512.2
23219,0,,,592.0,16.0,0.23809524,
23304,0,,,750.0,3.0,0.22222222,
23634,0,,2020902.0,801.0,5.0,0.16666667,
23731,0,,,657.0,9.0,0.115384616,
23789,1,0.4313707,2875720.8,816.0,7.0,0.0,36410.16
23804,0,0.9715052,16044663.0,706.0,5.0,0.25,
23911,0,,,671.0,3.0,,
23997,0,,,531.0,5.0,0.6,
24086,0,0.8426862,14279967.0,919.0,3.0,0.0,500.0
25082,0,0.9697,138982.19,552.0,0.0,0.22222222,3363.31
25143,0,,21828636.0,,,,
25789,0,0.11148354,19183436.0,687.0,5.0,,
25818,0,,,432.0,5.0,0.0,
26241,0,,6546540.5,551.5,3.0,,
26487,0,,,868.0,2.0,,
26582,0,,,528.0,16.0,0.09677419,
26998,0,0.62852746,4514860.5,627.0,5.0,,198946.14
27230,0,0.60136366,2997089.0,842.0,5.0,0.0,
28061,0,,86187650.0,670.0,2.0,,
28449,0,,0.0,709.0,,0.0,65887.29
28453,0,,,705.5,4.0,0.0,
28585,0,0.11403,3620.89,633.0,3.0,,
28975,0,,891176.0,539.0,5.0,0.16666667,
29328,0,,,618.0,8.0,0.33333334,
29740,0,,,724.0,1.0,,
30469,0,,,763.0,7.0,0.0,
30488,0,0.00352125,209364460.0,489.0,0.0,,
30853,0,,,612.0,6.0,0.1,
31077,0,,,613.0,10.0,0.0,
32196,0,,4949657.0,616.0,7.0,0.11111111,
33349,0,,695954.0,769.0,5.0,0.07692308,
33404,0,0.44223413,52408332.0,731.0,1.0,,
33692,0,,,635.0,8.0,0.0,
33775,0,,895457.5,673.0,7.0,0.0,450.83
34076,0,,60.0,858.0,2.0,1.0,
34198,0,,,665.0,,,
34389,0,0.47886637,1258706.9,666.5,2.0,,51426.2
34421,0,,,669.0,3.0,0.0,
34430,0,,,475.0,2.0,0.0,
34603,0,0.4425256,5414942.0,751.0,1.0,0.0,
35102,1,0.16113135,0.0,557.0,11.0,0.5,35231.14
35529,0,0.9919609,30497.5,817.0,4.0,0.0,
35540,0,0.935484,469234.16,900.0,3.0,,
36174,0,,,779.0,3.0,0.0,
37328,1,1.0,3500.0,321.0,37.0,0.4864865,32050.0
37867,0,,,667.0,5.0,0.33333334,
38339,0,0.08,30429996.0,799.0,4.0,0.0,
38795,0,,,704.0,10.0,0.0,
38885,0,,,486.0,2.0,0.0,
39052,0,,,,,,
39362,0,0.81175816,6889184.0,620.5,2.0,,
39805,0,,,708.0,,,
39857,0,,27954556.0,699.0,2.0,0.16666667,130518.02
39916,0,,189750300.0,686.0,0.0,,
39992,0,,,,,,
40002,0,,1815440.0,686.5,2.0,,
40536,0,,6046362.0,641.0,2.0,0.23076923,23810.0
40561,0,,50516.0,585.0,6.0,0.16666667,
40739,0,,1256511.8,470.0,6.0,0.21428572,
40928,0,,,582.0,4.0,0.25,
41025,0,,,804.0,3.0,0.06666667,
41380,0,,,535.0,2.0,,
41471,1,,,,,,
42030,0,0.66187215,9386733.0,843.0,0.0,,
42286,0,0.008266667,0.0,572.0,1.0,0.0,
42684,0,,861300.0,737.0,3.0,0.05263158,
42806,0,,7598000.0,821.0,,,
