id,feat_b_00,feat_b_01,feat_b_03,feat_b_05,feat_b_11
269,12,-0.125,660000.0,3.0,
296,18,-0.25,,49.0,
1486,8,-0.025,1500000.0,3.0,3.6645
2061,18,0.0,15700000.0,18.0,
2144,17,-0.055555556,,53.0,
2956,0,0.0,252449400.0,4.0,
2993,14,-0.071428575,,16.0,
3184,18,-0.033333335,,58.0,
3503,17,0.0,1000000.0,7.0,83.333336
3535,16,-0.083333336,788450.0,24.0,
3744,16,0.05,1362000.0,9.0,
4320,17,-0.5,,58.0,
5518,17,0.0,203000000.0,2.0,
5613,18,-0.125,6736466.0,7.0,
6019,18,-0.041666668,3645160.0,3.0,
6096,17,0.0,42490100.0,5.0,
6197,17,0.0,33259656.0,1.0,3444.4443
6670,16,0.0,1135565.5,60.0,
6714,12,0.0,3345717800.0,1.0,64708.344
6935,10,-0.03846154,,19.0,
7938,18,0.0,9243588.0,43.0,
8151,18,-0.1,,32.0,
8197,13,-0.055555556,,64.0,1222.2222
8374,17,0.25,5065000.0,9.0,
8398,9,-0.055555556,,6.0,
8734,12,0.0,15292159.0,5.0,142.85715
9322,18,0.0,253715000.0,9.0,
9346,14,0.0,,64.0,
9474,18,0.0,7302600.0,3.0,
9842,16,-0.5,,56.0,
10371,14,-0.25,,49.0,
10612,18,0.0,50000.0,13.0,
10642,5,0.0,152000000.0,2.0,128791.664
11235,18,0.0,6481158.0,6.0,
11344,17,0.0,113913496.0,2.0,4827.5864
11592,18,-0.125,480000.0,63.0,
11916,18,0.0,19899860.0,4.0,
12150,5,0.0,25000000.0,1.0,134.61539
12298,18,0.03846154,27000000.0,2.0,38.46154
12380,14,0.0,14900596.0,3.0,1888.8889
12579,17,0.0,30958856.0,2.0,1289.4736
13385,13,-0.033333335,6043371.0,76.0,
14174,18,0.0,20000000.0,4.0,
14197,17,-0.1,0.0,52.0,200.0
14439,11,-0.0625,,7.0,
14524,18,0.0,11784055.0,10.0,72.72727
14826,16,0.0,106860000.0,1.0,
15593,13,0.02631579,1400000.0,40.0,
16092,16,-0.041666668,141920.0,11.0,
16784,18,-0.125,,36.0,
16951,17,-0.1,6472797.0,6.0,
17090,18,0.0,0.0,32.0,
17803,11,-0.125,,63.0,67914.97
17870,10,-0.1,169860.19,9.0,
18550,8,-0.5,,42.0,
18922,14,0.0,3000000.0,25.0,52000.0
19071,13,0.0,25000000.0,2.0,
19173,17,0.0,1065000.0,8.0,
19568,18,0.0,100000.0,53.0,
19771,17,0.5,1050000.0,79.0,
19980,8,0.0,2000000.0,24.0,
21105,18,-0.16666667,,18.0,
21183,12,-0.045454547,1000000.0,6.0,45.454544
21272,12,-0.05,1375051.9,17.0,
21508,6,0.0,0.0,4.0,
21686,5,0.0,587388.75,82.0,
21798,8,0.0,19305000.0,18.0,
21804,18,-0.03846154,,4.0,38.46154
22358,16,0.0,39747970.0,18.0,
22416,17,-0.015625,22700000.0,1.0,
22662,17,-0.125,821575.2,11.0,
22872,16,-0.25,,48.0,
23030,16,0.0,1750000.0,15.0,
23219,4,0.0,2571979.5,17.0,
23304,17,-0.0625,60880.0,3.0,250.0
23634,2,-0.1,6343500.0,6.0,12.236
23731,11,-0.125,1812000.0,23.0,12471.75
23789,4,0.0,22669486.0,2.0,
23804,12,0.0,11800000.0,33.0,120600.0
23911,14,0.0,33400000.0,3.0,50.0
23997,18,0.0,1000000.0,63.0,
24086,18,0.0,13705000.0,3.0,6.5789475
25082,17,0.0,3000000.0,9.0,1166.6666
25143,13,-0.041666668,14738336.0,7.0,41.666668
25789,13,0.0,64295188.0,21.0,111.111115
25818,17,-0.25,,28.0,
26241,2,0.0,43897824.0,1.0,
26487,7,-0.16666667,,17.0,
26582,17,0.0,,45.0,
26998,18,0.0,12467290.0,7.0,
27230,18,0.0,10039800.0,2.0,1428.5714
28061,18,0.0,46538160.0,2.0,23.809525
28449,11,0.0,1000000.0,6.0,
28453,4,0.0,7386293.5,6.0,
28585,18,0.0,5000000.0,3.0,
28975,18,0.0,0.0,3.0,71.42857
29328,16,-0.027777778,,6.0,
29740,16,0.0,22235.86,70.0,
30469,18,0.0,1000000.0,34.0,
30488,5,0.0,30000000.0,2.0,
30853,12,0.0,6930273.5,4.0,2700.0
31077,3,-0.083333336,0.0,4.0,1125.0
32196,18,0.0,13010000.0,5.0,
33349,2,-0.05,3500000.0,10.0,
33404,17,0.0,70821000.0,1.0,
33692,17,-0.083333336,,32.0,
33775,17,0.083333336,3184798.0,21.0,
